Unnamed: 0,text
185,"As said before.
""ð¨ð³ is asking something big. ð®ð³has conditions.""

#India #à¤­à¤¾à¤°à¤¤ #à¤°à¥à¤¸ #China
#UkraineRussiaWar 
 #UkraineUnderAttaÑk #Russia #Ukraine #Ucrain https://t.co/qOWDJwcXCP"
186,"JUST IN: Biden to meet two Ukrainian ministers in Warsaw: White House 

@POTUS 
#joebiden 
#russia #ukraine 
#UkraineRussianWar 
#DailyTribune https://t.co/QfulESXsQl"
187,"Prosecuting war crimes:

With more and more reports from #Ukraine indicating war crimes committed by #Russiaân invasion forces, the @IntlCrimCourt should not just resort to press releases (see https://t.co/xS33lcVIPl), but should organize and deploy an investigative  mission.
1/2 https://t.co/atXWkuoKCD"
188,"âAs the #Hungarian election approachs and PM Orban seeks to protect his countryâs long-term #gas and #nuclear contracts with #Russia, his posture has threatened his relationships with his closest regional allies in the #Visegrad Four alliance of central European countriesâ¦âð¤"
195,"59 religious buildings in #Ukraine have been destroyed or damaged since the start of the invasion 

#RussiaUkraineWar

https://t.co/2s8a3GezPL https://t.co/UXqvHudQ4S"
197,"@MargSchinas @dubravkasuica @MarosSefcovic @VeraJourova @YlvaJohansson @GabrielMariya Please limit the issuance of visas to russians with special attention to those on sanctions lists and their relatives, and if possible - cancel visas, which have been issued before. We can't allow russians to avoid the consequences of their actions. #StandWithUkraine #StopRussia https://t.co/DhB1LnvEyM"
200,"History and Other Stuff: Putin Man, Progress, and The End of History https://t.co/gQkBVLmJOf #Putin #PutinIsaWarCriminal #history #Hegel #Marx #Camus #UkraineRussianWar #Ukraine️ #UkraineRussiaWar #Fukyama https://t.co/13VMdA2XXf"
201,"A rare video released by the US Department of Defense a few days ago showing the Air Force preparing a shipment of military equipment to #Ukraine...

#UkraineWar #UkraineRussiaWar #RussiaUkraineWar https://t.co/NEj39AQALR"
203,"Putin is, exactly, Adolf Hitler reincarnated &amp; he's escalating.  It will just be a matter of time before he steps over the border, if Ukraine doesn't stop his troops. #StopPutin #StopRussia #StopPutinNOW #StopPutinsWar #FckPutin 
https://t.co/zbo2vpLpKx"
205,"While @pritipatel has refused to set up an office for refugees in Calais (possibly under pressure from @BorisJohnson and the most right-wing members of @Conservatives, #Ukraine has set up a hotline for #Russian families searching for soldiers missing in action. https://t.co/R9LGhz7jRY"
207,"Oligarch in the Russian Orthodox Church too, Patriarch Kirill, close #Putin partner &amp; supporter. #Ukraine #Russia #PutinsWar https://t.co/l3TrLE5jqL"
209,"A 23-year-old musician has decided to remain in his home town of #Kharkiv and try to help those who are either trapped or, like him, staying put.

#UkraineRussiaWar 

https://t.co/XyS0o8YFTe"
210,"Ukrainian Monument of Duc de Richelieu has been covered in sandbags in Odessa in a preventive move of Russian Shelling. 
#UkraineRussianWar #RussiaUkraine #Ukraine #Russia #UkraineWar https://t.co/wr1NWz9MJf"
213,"Pakistan send 20 f16 jets to Russia Bcoz we support Russia
#RussianUkrainianWar 
#westandwithrussia 
#urra 
#Urrraaaa https://t.co/yLl9tcAlRP"
214,"Accurate 
#Russia #Ukraine️ #Putin #BidenIsALaughingstock #gas #UnitedNations #UkraineRussiaWar 
👇🏻 https://t.co/CWGqJrtzbP"
216,Please enjoy my #UkraineRussianWar cartoon in today's @TorontoStar https://t.co/hoHykIU1GT
218,"#GO_Ukraine 🇺🇦
#GazetaOriental 
#UkraineInvasion
#UkraineRussiaWar

War of Ukraine 2022

09.03.2022 03.25

RUSSIA https://t.co/CrE266kQbU"
221,"@JMathieuReports Now in #SOUNDON  more than ever to listen the ingishts what is happening in #Ukraine #Russiaattacks How long people can hold out. War crimes. The courage and resilience of Ukrainians, we have to do right now #AirAid there are a number of options"
227,"#Malaysia needs to shift from Ukraine towards #India or #Thailand. At least they don't try to dominate us.

#China and #Russia could be an alternative, but if we accept them, they might make us dependent on them until we become their vassals. https://t.co/1m5iNPi1QC"
229,"You are 8% Russian!
 
You're so un-Russian, you must be an American. You probably rent Cold War movies and enjoy them with no sense of irony.

""How Russian Are You?"" My result: You are 8% Russian! https://t.co/fYtklb9v7W #Quiz #Russia"
230,"It finally happened: #Russia claiming the USA in #Ukraine experimented on bat coronaviruses, a pretty transparent attempt to hi-jack #LabLeak conspiracy theory &amp; appeal to China. Yes, Russian disinformation now is accusing Ukraine of inventing #COVID19 #UkraineWar  🙃🙃🙃 https://t.co/x23I9JNl0X"
232,"Will Danilichenko and other #Collaborationists be assassinated? And if they are, will the #Russians respond with mass executions of #Ukraine's occupied population? Occupiers of a hostile population must impose #MilitaryTerror to maintain control. https://t.co/FuslYQN5yf"
235,🇲🇽 🔺#US warned #China that it would face “consequences” if it helps #Russia evade Western sanctions imposed since the invasion of Ukraine. #mexico  #mostliked https://t.co/VijaVi65Bg
238,❗️#Russia and #Ukraine are not against a summit meeting - #Turkish Foreign Minister https://t.co/150iS1qCYX
247,The #WhiteHouse believes they and #Russia share a common goal on Iran nuclear deal
249,You’ve Not Been Told This About Russia https://t.co/2rz9K2IW6m via @YouTube #Russia and Ukraine #war #WARINUKRAINE #RussiaUkraine
252,Ukraine needs accurate rifles so they can shoot Russians from a distance that allows them to live another day so they can kill more Russians. #UkraineWar #UkraineRussianWar
254,Interesting footage from an independent journalist. First Western Journalist In Russia &amp; DPR Controlled Volnovakha (Special ... https://t.co/8uo3obpf67 #RussiaUkraineWar  #UkraineWar
255,"did anybody remember any  newspaper condemn this shocking collaboration, or any debate on this in any TV channels ? 
. NO.  they were busy
   demonizing #Russia  and #PUTIN for destabilizing #Ukraine  as they are doing now. 59 #UkraineWar"
257,"@POTUS bans #Russian oil, but won’t unleash American #energy? Do you hate us? You’ve just cut supply even further without cutting demand. Hard working #Americans will suffer."
258,"#Russia #Ukraine 🇷🇺🇺🇦: Ukrainian soldiers have released a video of a rifle recently seized from Russian Forces.

The rifle appears to be a quite noteable AK-12 rifle (chambered in 5.45x39mm).
Also 6P70 (6П70) markings can be seen as well —which is #GRAU index of the AK-12 rifle. https://t.co/c8jQsfXGmm"
259,The #Russian Aggression on #Ukraine The Ukrainian people walking on the streets are chanting: The Russians are fascists. News of the Russians firing at the demonstrators and wounding many of them  in #UkraineWar #RussiaUkraineWar #Kherson #Zelensky #StandWithUkraine #StopRussia https://t.co/4s91nA1YBy
266,"“ ROGAN’S LAIR”1/1
#Lavishly Evil NFT artwork

#NFTs #NFT #NFTGiveaway #NFTartist #nftphotography #hiphop #BBUltimate #CWC22               #PolygonNFT #Bitcoin              #ETH #RussianUkrainianWar #UkraineRussianWar #lavishly @rarible https://t.co/5XyMa0HVWx"
267,"@JJCarafano Oy #POTUS!

#Obama &amp; #ClimateChange #SolutionsTyranny in ignorance - #ZonesOfIgnorance - caused #Ukraine #Ukrainian #Putin problem?

#FreeReads sorted on related #BLASPHEMY of #BarackObama reads #CONSTITUTION &amp; #BIBLE errantly via:

https://t.co/GPZzZ4qDww

#Russia #Christians? https://t.co/zZmck85Zu6"
269,"""Real-world calculations"" 
Russia Does Not Seek Military Support from China: #Zhao - TeleSur English
[Anonymous] U.S. official says Russia seeking military aid from China - AP/WaPo/FT
US's #Sullivan, China's #Yang in #Rome to discuss #China-#Russia relations, #Ukraine
#TiltTheMap https://t.co/h9KEfmKmt0"
272,"Press Release by the Afar Revolutionary Party (UGUUGUM) about the #HumanitarianCrisis and #war in #Afar, #Ethiopia.
#AfarUnderAttack #AfarIsBleeding #AfarCantWait  #war #support #humanity #conflict #Russia #UkraineWar #Ukraine #HornOfAfrica #Djibouti #Eritrea https://t.co/wCKxsRxs5e"
274,"Russian Deputy Prime Minister Alexander Novak warned that global oil prices could hit $300 per barrel in the event of an import ban.

#Russian #UkraineWar"
279,"Women of #Kyiv, #Ukraine taking a 6-hour survival course in the city hall, preparing for a possible attack by #Russia. https://t.co/ES7CZfW1xA"
281,"We do not plan to attack other countries, we did not attack #Ukraine either.  “We simply explained to #Ukraine many times that a situation has arisen that creates direct threats to the security of the #Russian Federation” - #Russian Foreign Minister Sergey Lavrov."
284,"Ukrainian BM-21 Grad MLRS firing on Russian positions.

#Ukraine #UkraineRussiaWar #UkraineWar #RussiaUkraineWar #Russians #Shooting #WarCrimes https://t.co/fdDLQMePrn"
288,"I SUPPORT UKRAINE 🇺🇦

STOP THE WAR

#SlavaUkraini #StopRussia #StopPutin #PutinWarCriminal #NFT #NFTCommunity #LGBTQ #nftcollector #cryptoartist #NFTs #wezenaar #rickwezenaar https://t.co/B3kl1xgNOS"
292,"“#Russia has withdrawn hundreds of allied #Syrian fighters from #Libya, as reports emerge of the #Kremlin pulling out of some of its operations in the #MiddleEast amid its ongoing invasion of #Ukraine.” https://t.co/5jKF4uKlXO via @middleeastmnt"
293,"Glory to Ukraine 
#UkraineUnderAttack #UkraineRussiaWar #PutinHitler #PutinWarCrimes #PutinsPuppet #Putin #Zelensky #Zelenski #ZelenskyyIsAHero #IStandWithUkraine️ #IStandWithUkriane #GloryToUkraine #UkraineResist https://t.co/ThpGfCKq1S"
297,Disgusting! We should never forget that 24 hours into this war the United States offered to take  Zelensky out of the Ukraine. They didn't believe in the Ukraine then and they certainly don't now.  #Ukraine #UkraineInvasion #RussianUkrainianWar #Migs #US @POTUS https://t.co/mq8hHcMp3M
299,Brook Tha Don - Spring Cleaning https://t.co/ZJ7CJBMcSP via @YouTube #UkraineRussie #Ukrainian #Ucraina #UkraineRussiaWar #Ucrania #Rusia #RussiaUkraineWar #Putin #PutinsWarCrimes #PutinLies
300,"Gore content.
This ain't #Russia of #Putin, this is #Albania under #EdiRama. NATO member. 182 rising arrested &amp; mistreated. Are protesting against kakistocracy! To @ediramaal, Albanian should be ashamed not to dissent instead, vs #Russian aggression in #Ukraine! Shqiperi shqiptar https://t.co/wTJuUcwNPS"
309,why if Boris is so in hock to Kremlin-linked money has he been so quick to oppose the invasion of #Ukraine? Not just him but a lot of establishment types went from “make love not war with #Russia” to “let’s be having you!” Anyone got any ideas? https://t.co/9O2WZ4PPTE
311,@duty2warn Does anyone have a list of U.S. gas and oil corporations and their CEO’s? That would help us apply pressure. They’re the only US industry currently not chipping in for the cause. #StopRussia #StopPutinNOW
313,"Dual face of the World...

The hypocrisy of the West. #UkraineRussianWar #الحرب_الروسية_الأكرانية #Russia #RussiaUkraineWar https://t.co/ElrVOFLadS"
314,"NEW
#UnitedNations issues updated numbers re: #Russia's invasion of #Ukraine:
• 636 civilians killed, as of 24:00 EEST on March 13
• 1,125 civilians injured, as of 24:00 EEST on March 13
• 2.8 million people have become #refugees as of 12:00 CET on March 13

#Putin #Zelensky https://t.co/odp8MtEcyu"
316,"#US announced a ban on Russian oil transportation as a part of a broader prohibition that includes natural gas and coal. #Ukraine #Russia. 

https://t.co/8tW2ORdtjq"
318,@PentagonPresSec FINALLY facilitate the plane exchange for goodness sakes! Give Ukraine tools needed to SAVE lives!!! Time for leadership to act! Way too much “talking &amp; “phone calls” with sloth slow actions! #StandWithUkraine #SaveUkraine #StopRussianAggression #HumanitarianCorridor
319,@Forbes Double standard everywhere. So is it a crime to be from #Russia?
320,"🗨️ Interesting question from our @debatingeurope citizen's engagement platform at today’s #FoEDebate: if #Russia shuts down gas to the #EU tomorrow, how will we produce energy? What do you think? https://t.co/ycKXYXDdfS"
324,2/7 #Russia described as “an #oil company masquerading as a country.” That is an apt description. It is wise to work through possible bifurcations that focus on economic and political mechanisms through which EU &amp; Biden Administrations might hope to impose pain and punishment
328,"🇬🇧|Economists in #Germany warn of a mega #inflation: If #EU #sanctions against #Russia are extended, they forecast a permanent inflation of up to 10% for #gas, #gasoline &amp; food. #ID #fuel https://t.co/5dm3cGnvZL"
333,"Ok, 'who' is finally going to put the brakes on this runaway train? ⚠ 🙅‍♂️ We can't afford to wait and see. #WHO #UkraineRussianWar #HumanRights #Democracy https://t.co/aeLBmTw1Qf"
334,#Ukrainian army hit an #Iskander ballistic missile near #Kramatorsk. But there are still a lot of #Russian rockets which are destroying Ukrainian cities. Only #NATO can protect people of #Ukraine and #ClosetheSkyoverUkraine! #RussiaUkraineWar #UkraineUnderAttaсk #SupportUkraine https://t.co/wLbZyHWE7z
341,"No we dont all say it, but thanks for finally admitting why #Russia and #Putin are doing what they are doing.

#Ukraine 
#UkraineRussia 
#UkraineRussianWar https://t.co/VPPLoEZ3ym"
343,"#MarketsWithMC: Here are top 10 things to know before the market opens today 👇

https://t.co/Y5G8GyjWGf

#StockMarket #Stocks #Markets #Sensex #Nifty #RussiaUkraineWar #OilPrices"
344,"Amidst the deadly war maybe there is black humor.

#Russia #Ukraine #war #RussiaUkraineWar

https://t.co/6kS9QshJr7"
346,"#Mariupol, #Ukraine: #Tribunal for the top of the government &amp; the army of the #RussianFederation. | #CrimesAgainstHumanity #Russia  #StopTheWar #Россия #Путин #Лукашенко #террор #россиядумай #нетвойне https://t.co/JRnODLeVsM"
347,"Finland’s President, Niinisto speaks on joining NATO - Ukraine versus Russia - https://t.co/xthUBHcX13 #News  #Finland #NATO #Niinisto #UkraineVsRussia #BBnaija #Messi #Wizkid #Davido"
350,How many civilians died as a result of either a real or a provocative battle is unknown the fact itself is important: the Armed Forces of #Ukraine fired on top of the column of residents who had almost evacuated from the combat zone. #RussianUkrainianWar #UkraineInvasion #Russia https://t.co/hVx8JsGWHp
351,"#Ukraine #UkraineRussiaWar #UkraineWar #Kiev #Kyiv #Russia #RussiaUkraineWar #NATOINUKRAINENOW #nato #wwIII #КИЇВ

🇺🇦🇺🇦🇺🇦🇺🇦ПТН ПНХ🇺🇦🇺🇦🇺🇦🇺🇦 https://t.co/OEDYLY27CB"
352,"In 1996, #Ukraine handed their nuclear weapons to #Russia with the condition that they wouldn’t be threatened or invaded 🤔 https://t.co/11QwBrbeQ6"
354,"@edokeefe @CBSDavidMartin Russian steel billionaire #VladimirLisin calls the invasion of #Ukraine a huge tragedy that is impossible to justify https://t.co/MregkxPltV 
- He hoped #Putin could find a diplomatic resolution
- Lisin is 81st richest person in the world
#RussianUkrainianWar #StandWithUkraine"
356,@Yulisha Where the killing of of children in Yemen  by UK made bombs and missiles  aided by UK military there  in forgotten war of a forgotten  people in Yemen puts UK media hypocrisy in perspective in coverage of interdiction in Ukr by #Russia
359,"I think we are trapped in it. Retweet till the WORLD sees this. Link in bio
#Lawrow #UkraineWar #BTSARMY #UkraineRussianWar #UkraineRussiaWar https://t.co/1mfss6674l"
363,"❗️A couple of birds of the occupation troops of the Russian Federation are flying over Donetsk.

#Ukraine #Russia #TPYXA https://t.co/sdLXvpKMk8"
375,"Fascinating graphic. #WWIII, #ww3 #UkraineRussiaWar #NATO #NATOAlliance https://t.co/Tm2HC6spmj"
386,"#Russian Patriarch #Kirill's full-throated blessing for #Moscow's invasion of #Ukraine has splintered the worldwide #OrthodoxChurch &amp; unleashed an internal rebellion that experts say is unprecedented.
Kirill, 75, is a close ally of Pres.#Putin.
https://t.co/Dv0ybGGYND
#UkraineWar"
390,🇺🇦 Andrei is being interviewed at #TEDxBoston by our own @IrmaRaste! #IStandWithUkraine #WeStandWithUkraine #UkraineRussianWar #Ukraine #UkraineUnderAttaсk https://t.co/pjf6ic6QQq
392,"🇬🇧
#Russian pilots drop high-explosive and cluster bombs on #Ukrainian cities. These are banned by Geneva Convention
https://t.co/rTyQY7g2rq
#StopRussia #StopPutin #Ukraine #UkraineWar #UkraineRussiaWar #UkraineNews #UkraineNewsWar https://t.co/jBHcIQVgU7"
393,"NEW HDS Greenway: is #China getting bridegroom's remorse? #Russia #Ukraine
https://t.co/13fXwuOCE7"
396,"TOMORROW AT 12PM: Will the #RussiaUkraineWar embolden Xi Jinping to attack #Taiwan? 

Join @KenWeinstein and Yasuhiro Matsuda to learn more.  

Watch it here: 
https://t.co/PS1p4QSt3F"
